,plotRatio,transactionDate,floorPrice,time,price
96,3.0,2013.651826484018,855,2016.3881278538813,8200
97,1.4,2014.2746575342467,771,2018.143607305936,14440
98,2.0,2013.5602739726028,1955,2018.3184931506848,13300
99,2.25,2013.9659817351599,2979,2018.25,19300
100,2.0,2015.7050228310502,1900,2018.25,17900
101,2.0,2013.4522831050228,2125,2014.3130136986301,9300
102,3.4,2012.8716894977167,1050,2018.3102739726028,13000
103,4.0,2014.6408675799087,57228,2018.157305936073,8300
104,2.0,2014.4045662100457,5259,2017.777397260274,6800
105,2.0,2014.4045662100457,5259,2017.6776255707764,7000
106,2.4,2015.924885844749,188991,2017.1940639269408,14000
107,2.4,2015.924885844749,172725,2017.1940639269408,14000
108,2.6,2015.7461187214612,37562,2017.771917808219,17500
109,2.7,2015.9045662100457,32798,2017.771917808219,17500
110,1.4,2017.2664383561644,83711,2018.338812785388,9850
111,1.75,2016.3990867579907,8855,2017.9961187214612,11000
112,1.75,2016.3990867579907,22113,2017.9961187214612,11000
113,2.6,2015.7461187214612,37562,2017.5082191780823,16000
114,2.7,2015.9045662100457,32798,2017.5082191780823,16000
115,3.0,2014.151826484018,59491,2017.3333333333333,6800
116,2.6,2015.7461187214612,37562,2017.5082191780823,16000
117,2.7,2015.9045662100457,32798,2017.5082191780823,16000
118,3.0,2014.151826484018,59491,2017.3333333333333,6800
119,2.6,2015.7461187214612,37562,2018.25,15000
120,2.7,2015.9045662100457,32798,2018.25,15000
121,2.0,2014.1381278538813,17558,2017.5,11000
122,2.6,2015.0191780821917,53839,2017.4166666666667,9500
123,2.6,2014.0575342465754,339,2017.8333333333333,5500
124,2.0,2014.4045662100457,5259,2017.4166666666667,5300
125,2.4,2015.924885844749,188991,2017.3333333333333,14000
126,2.4,2015.924885844749,172725,2017.3333333333333,14000
127,1.6,2013.3744292237443,4071,2017.3333333333333,11000
128,1.7,2014.129908675799,51905,2017.3333333333333,7800
129,3.0,2014.151826484018,59491,2018.25,10100
130,1.8,2013.8075342465754,11052,2017.3333333333333,8600
131,1.8,2013.8075342465754,11052,2017.3333333333333,6600
132,2.0,2013.151826484018,25865,2017.6666666666667,6400
133,5.7,2013.9988584474886,299856,2017.3333333333333,18000
134,4.0,2014.6408675799087,57228,2017.75,7800
135,1.75,2016.3990867579907,22113,2018.0,10500
136,2.25,2014.1490867579907,29214,2017.5,10700
137,1.75,2016.3990867579907,22113,2018.2582191780823,30000
138,2.5,2014.151826484018,10528,2016.7022831050228,3800
139,3.0,2014.151826484018,59491,2017.6995433789955,7700
140,1.4,2017.2664383561644,83711,2018.3130136986301,9500
141,1.75,2016.3990867579907,22113,2017.602511415525,7600
142,1.75,2016.3990867579907,22113,2017.771917808219,10500
143,1.75,2016.3990867579907,22113,2018.1666666666667,25000
144,2.5,2014.151826484018,10528,2016.4550228310502,4200
145,2.5,2014.151826484018,10528,2017.6107305936073,5300
146,3.0,2014.151826484018,59491,2017.4155251141551,6500
147,3.0,2014.151826484018,59491,2018.3184931506848,11500
148,2.6,2014.0575342465754,339,2016.8333333333333,4100
149,3.0,2014.151826484018,59491,2017.3333333333333,5600
150,2.0,2013.151826484018,25865,2017.3333333333333,6500
151,4.0,2014.6408675799087,57228,2017.3333333333333,5700
152,1.75,2016.3990867579907,22113,2017.3333333333333,7200
153,1.75,2016.3990867579907,22113,2017.9166666666667,7500
154,2.0,2013.151826484018,25865,2017.6940639269408,6500
155,2.0,2014.1381278538813,17558,2017.6666666666667,11000
156,2.0,2014.1381278538813,17558,2017.8333333333333,11000
157,2.0,2014.1381278538813,17558,2018.0,11000
158,2.0,2014.1381278538813,17558,2018.0833333333333,11000
159,2.0,2014.1381278538813,17558,2018.1666666666667,11000
160,2.0,2014.1381278538813,17558,2018.25,11000
161,2.0,2014.1381278538813,17558,2017.3333333333333,11000
162,2.0,2014.1381278538813,17558,2017.3333333333333,11000
163,2.6,2015.0191780821917,53839,2017.5,9500
164,2.6,2015.0191780821917,53839,2017.5833333333333,9500
165,2.6,2015.0191780821917,53839,2017.6666666666667,9500
166,2.6,2015.0191780821917,53839,2017.75,9500
167,2.6,2015.0191780821917,53839,2017.8333333333333,9500
168,2.6,2015.0191780821917,53839,2017.9166666666667,9500
169,2.6,2015.0191780821917,53839,2018.0833333333333,9500
170,2.6,2015.0191780821917,53839,2018.25,9500
171,2.6,2015.0191780821917,53839,2018.0,9500
172,2.6,2015.0191780821917,53839,2017.3333333333333,9500
173,2.6,2015.0191780821917,53839,2018.25,9500
174,2.25,2014.1490867579907,29214,2017.6666666666667,10700
175,2.25,2014.1490867579907,29214,2017.8333333333333,10700
176,2.25,2014.1490867579907,29214,2018.0,10700
177,2.25,2014.1490867579907,29214,2018.1666666666667,10700
178,2.25,2014.1490867579907,29214,2017.3333333333333,10700
179,2.0,2014.4045662100457,5259,2017.5,5300
180,2.0,2014.4045662100457,5259,2017.5833333333333,5300
181,2.0,2014.4045662100457,5259,2017.5833333333333,5300
182,2.0,2014.4045662100457,5259,2017.8607305936073,6800
183,2.0,2014.4045662100457,5259,2017.9440639269408,6800
184,2.0,2014.4045662100457,5259,2018.027397260274,6800
185,2.0,2014.4045662100457,5259,2018.1107305936073,6800
186,2.0,2014.4045662100457,5259,2018.1940639269408,6800
187,2.0,2014.4045662100457,5259,2018.277397260274,6800
188,2.0,2014.4045662100457,5259,2017.6940639269408,6800
189,2.0,2011.9495433789955,1525,2017.1913242009134,7500
190,2.0,2012.2461187214612,1900,2017.1913242009134,7500
191,2.8,2014.5054794520547,4720,2017.8294520547945,17800
192,2.0,2013.9632420091325,5800,2017.2296803652969,12000
193,2.7,2014.3102739726028,9350,2017.4687214611872,17000
194,3.67,2014.9796803652969,5077,2017.4687214611872,17000
195,2.25,2014.4796803652969,1239,2016.5465753424658,4700
196,2.5,2014.9605022831051,1084,2016.5465753424658,4700
197,2.5,2014.9605022831051,1084,2016.5465753424658,4700
198,2.0,2013.8075342465754,900,2017.8853881278537,7000
199,2.0,2013.8075342465754,900,2017.8853881278537,7000
200,2.0,2013.8075342465754,900,2017.8853881278537,7000
201,2.0,2013.8075342465754,900,2017.8853881278537,7000
202,1.56,2015.9045662100457,3040,2017.25,20000
203,2.0,2012.6600456621004,3050,2017.3333333333333,6200
204,1.75,2015.2132420091325,1329,2017.3333333333333,7500
205,2.0,2011.9495433789955,1525,2017.3333333333333,7500
206,2.0,2012.2461187214612,1900,2017.3333333333333,7500
207,4.9,2014.9796803652969,3796,2017.3333333333333,12000
208,3.0,2013.777397260274,1022,2017.3333333333333,7700
209,2.6,2015.924885844749,2560,2017.3333333333333,7800
210,1.55,2012.9632420091325,5100,2017.3333333333333,8000
211,2.7,2013.6189497716894,5350,2017.3333333333333,9000
212,2.25,2014.4796803652969,1239,2017.3333333333333,4600
213,2.5,2014.9605022831051,1084,2017.3333333333333,4600
214,2.5,2014.9605022831051,1084,2017.3333333333333,4600
215,2.0,2013.9632420091325,5800,2017.021917808219,9000
216,2.6,2015.924885844749,2560,2017.5833333333333,10500
217,2.6,2015.924885844749,2560,2018.0,10500
218,2.6,2015.924885844749,2560,2016.8184931506848,8000
219,2.8,2014.5054794520547,4720,2017.5,11300
220,2.8,2014.5054794520547,4720,2017.6666666666667,15000
221,2.8,2014.5054794520547,4720,2017.8333333333333,18000
222,2.8,2014.5054794520547,4720,2018.0833333333333,16500
223,2.8,2014.5054794520547,4720,2018.0,16500
224,2.8,2014.5054794520547,4720,2018.1666666666667,16500
225,2.8,2014.5054794520547,4720,2017.9166666666667,18000
226,2.8,2014.5054794520547,4720,2017.75,18000
227,2.6,2015.924885844749,2560,2017.5,10500
228,2.8,2014.5054794520547,4720,2017.3333333333333,11000
229,2.8,2014.5054794520547,4720,2017.4166666666667,11000
230,1.7,2016.9906392694065,6000,2018.2187214611872,10200
231,1.7,2016.9906392694065,6000,2018.116210045662,11000
232,1.7,2016.9906392694065,6000,2018.3102739726028,11000
233,1.4,2014.844292237443,1333,2014.907305936073,7500
234,1.4,2014.844292237443,1333,2014.9550228310502,7400
235,1.4,2014.844292237443,1333,2015.0301369863014,7400
236,1.4,2014.844292237443,1333,2015.094292237443,7400
237,1.4,2014.844292237443,1333,2015.169406392694,7400
238,1.4,2014.844292237443,1333,2015.291095890411,12000
239,1.4,2014.844292237443,1333,2015.3497716894976,13000
